Cust No,Customer,Program,Status,Company Code,System Up Time,Running Time,Memory (KB),Create Date,Priority,Reference No
,,SW Data,System.Net.WebException: The remote serv,,,,,9/26/2023 1:52:17 PM,Low,
,,,System.IO.FileLoadException: Could not l,,,,,9/26/2023 1:46:14 PM,Low,
003670,"HARBOR MANUFACTURING, INC.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:19m:15s,16112,9/26/2023 1:40:59 PM,Medium,
003670,"HARBOR MANUFACTURING, INC.",GSSCOURIER,Running,,,10d:11h:17m:10s,25772,9/26/2023 1:41:01 PM,Medium,
003670,"HARBOR MANUFACTURING, INC.",ONLINE UPDATE,Running,HAR,,08d:04h:18m:19s,189780,9/26/2023 1:43:39 PM,High,
004890,BYERS PRECISION FABRICATORS,GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:19m:06s,16048,9/26/2023 1:39:47 PM,Medium,
004890,BYERS PRECISION FABRICATORS,ONLINE UPDATE,Running,BPF,,08d:00h:14m:52s,120012,9/26/2023 1:49:14 PM,High,
004890,BYERS PRECISION FABRICATORS,ZENENGNSVC,Running,,10d:11h:19m:37s,10d:11h:19m:04s,4194303.99902344,9/26/2023 1:39:45 PM,Low,
004895,C.E. SMITH,GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:10m:27s,16992,9/26/2023 1:30:59 PM,Medium,
004895,C.E. SMITH,GSSCOURIER,Running,,,03d:11h:08m:23s,28528,9/26/2023 1:31:01 PM,Medium,
004895,C.E. SMITH,NTDBSMGR64,Running,,03d:11h:10m:52s,03d:11h:10m:25s,4194303.99902344,9/26/2023 1:30:57 PM,Low,
004895,C.E. SMITH,ONLINE UPDATE,Running,CES,,03d:11h:26m:27s,95640,9/26/2023 1:49:03 PM,High,
004934,"CARTOPLASTIC, S.A.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:07m:58s,15048,9/26/2023 1:35:54 PM,Medium,
004934,"CARTOPLASTIC, S.A.",NTDBSMGR64,Running,,03d:11h:08m:29s,03d:11h:07m:55s,4194303.99902344,9/26/2023 1:35:53 PM,Low,
004934,"CARTOPLASTIC, S.A.",ONLINE UPDATE,Running,CSA,,03d:11h:10m:41s,88428,9/26/2023 1:41:44 PM,High,
005015,"CGI AUTOMATED MFG, LLC",GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:27m:38s,17024,9/26/2023 1:47:41 PM,Medium,
005015,"CGI AUTOMATED MFG, LLC",GSSCOURIER,Running,,,10d:11h:25m:34s,35156,9/26/2023 1:47:43 PM,Medium,
005015,"CGI AUTOMATED MFG, LLC",ONLINE UPDATE,Running,ALM,,10d:11h:28m:14s,55800,9/26/2023 1:49:57 PM,High,
005015,"CGI AUTOMATED MFG, LLC",ONLINE UPDATE,Running,CGI,,10d:11h:27m:06s,82080,9/26/2023 1:50:01 PM,High,
005015,"CGI AUTOMATED MFG, LLC",ONLINE UPDATE,Running,PMF,,10d:11h:26m:45s,87356,9/26/2023 1:49:59 PM,High,
005015,"CGI AUTOMATED MFG, LLC",ZENENGNSVC,Running,,10d:11h:28m:09s,10d:11h:27m:36s,4194303.99902344,9/26/2023 1:47:39 PM,Low,
006115,FABCON,GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:10m:30s,15744,9/26/2023 1:32:19 PM,Medium,
006115,FABCON,GSSCOURIER,Running,,,03d:11h:08m:26s,28184,9/26/2023 1:32:21 PM,Medium,
006115,FABCON,NTDBSMGR64,Running,,03d:11h:11m:04s,03d:11h:10m:28s,4194303.99902344,9/26/2023 1:32:17 PM,Low,
006115,FABCON,ONLINE UPDATE,Running,FAB,,03d:11h:15m:33s,101560,9/26/2023 1:43:33 PM,High,
